case_number	name	date	file_name	court_list	court_type	decision	author	judge_panel
664 F.3d 907	MarcTec LLC v Johnson And Johnson	2012-01-03	020 - MarcTec LLC v Johnson And Johnson	Federal Circuit	Appellate Court	"AFFIRMED.
"	O'Malley	"Before NEWMAN, PROST, and O'MALLEY, Circuit Judges.
"
842 F.3d 1350	Asetek Danmark AS v CMI USA Inc	2016-12-06	057 - Asetek Danmark AS v CMI USA Inc	Northern District of California	Federal District Court	"AFFIRMED IN PART, REMANDED IN PART
"	Taranto	"Before Prost, Chief Judge, Newman, and Taranto, Circuit Judges.
"
726 F.3d 1306	Taurus IP LLC v DaimlerChrysler Corp	2013-08-09	040 - Taurus IP LLC v DaimlerChrysler Corp	Western District of Wisconsin	Federal District Court	"AFFIRMED–IN–PART AND REVERSED–IN–PART
"	Schall	"Before PROST, SCHALL, and REYNA, Circuit Judges.
"
786 F.3d 983	Apple Inc v Samsung Electronics Co Ltd	2015-05-18	089 - Apple Inc v Samsung Electronics Co Ltd	Northern District of California	Federal District Court	"AFFIRMED–IN–PART, REVERSED–IN–PART, VACATED–IN–PART and REMANDED
"	Prost	"Before PROST, Chief Judge, O'MALLEY and CHEN, Circuit Judges.
"
801 F.3d 1346	R8FL Carriers Inc v Qualcomm Inc	2002-06-04	081 - R8FL Carriers Inc v Qualcomm Inc	Southern District of Ohio	Federal District Court	"AFFIRMED
"	O'Malley 	"Before NEWMAN, O'MALLEY, and WALLACH, Circuit Judges.
"
695 F.3d 1334	In re Droge	2012-09-21	035 - In re Droge	Patent Trial and Appeal Board	Federal Court	"AFFIRMED
"	Moore	"Before NEWMAN, MOORE, and O'MALLEY, Circuit Judges.
"
699 F.3d 1331	Pei-Herng Hor v Ching-Wu Chu	2012-11-14	084 - Pei-Herng Hor v Ching-Wu Chu	Southern District of Texas	Federal District Court	"AFFIRMED–IN–PART, REVERSED–IN–PART, VACATED–IN–PART, AND REMANDED
"	Prost	"Before NEWMAN, PROST, and REYNA, Circuit Judges.
"
781 F.3d 1340	NeuroRepair Inc v The Nath Law Group	2015-01-15	061 - NeuroRepair Inc v The Nath Law Group	Southern District of California	Federal District Court	"Vacated and remanded.
"	Wallach	"Before WALLACH, CHEN, and HUGHES, Circuit Judges.
"
837 F.3d 1268	Stryker Corporation v Zimmer Inc	2016-09-12	018 - Stryker Corporation v Zimmer Inc	Western District of Michigan	Federal District Court	"*1280  AFFIRMED–IN–PART, VACATED–IN–PART, AND REMANDED
"	Prost	"Before Prost, Chief Judge, Newman and Hughes, Circuit Judges.
"
678 F.3d 1357	In re Baxter Intern Inc	2012-05-17	032 - In re Baxter Intern Inc	Northern District of California	Federal District Court	"AFFIRMED
"	Lourie	"Before NEWMAN, LOURIE, and MOORE, Circuit Judges.
"
841 F.3d 1334	Alfred E Mann Foundation for Scientific Research v Cochlear Corporation	2016-11-17	008 - Alfred E Mann Foundation for Scientific Research v Cochlear Corporation	Central District of California	Federal District Court	"AFFIRMED-IN-PART, REVERSED-IN-PART, VACATED-IN-PART, AND REMANDED
"	Hughes	"Before Newman, Chen, and Hughes, Circuit Judges.
"
682 F.3d 1003	Bard Peripheral Vascular Inc v WL Gore And Associates Inc	2012-06-14	037 - Bard Peripheral Vascular Inc v WL Gore And Associates Inc	District of Arizona	Federal District Court	"AFFIRMED IN PART, VACATED IN PART AND REMANDED IN PART.
"	Gajarsa	"Before NEWMAN, GAJARSA, *  and LINN, Circuit Judges.
"
837 F.3d 1299	McRO Inc v Bandai Namco Games America Inc	2016-09-13	007 - McRO Inc v Bandai Namco Games America Inc	Central District of California	Federal District Court	"REVERSED AND REMANDED
"	Reyna	"Before Reyna, Taranto, and Stoll, Circuit Judges.
"
808 F.3d 829	Merck And Cie v Gnosis SPA	2015-12-17	080 - Merck And Cie v Gnosis SPA	Patent Trial and Appeal Board	Federal Court	"AFFIRMED
"	Hughes	"Before NEWMAN, PLAGER, and HUGHES, Circuit Judges.
"
745 F.3d 490	Elcommercecom Inc v SAP AG	2014-02-24	009 - Elcommercecom Inc v SAP AG	Eastern District of Texas	Federal District Court	"AFFIRMED IN PART, VACATED IN PART, AND REMANDED
"	Newman	"Before NEWMAN, PLAGER, and WALLACH, Circuit Judges.
"
764 F.3d 1401	Ferring BV v Watson Laboratories Inc-Florida	2014-08-22	032 - Ferring BV v Watson Laboratories Inc-Florida	District of Nevada	Federal District Court	"AFFIRMED IN PART, REVERSED IN PART, and VACATED IN PART
"	Lourie	"Before LOURIE, DYK, and REYNA, Circuit Judges. LOURIE, Circuit Judge.
"
871 F.3d 1355	In re Cray Inc	2017-09-21	029 - In re Cray Inc	Eastern District of Texas	Federal District Court	"Petition granted.
"	Lourie	"Before Lourie, Reyna, and Stoll, Circuit Judges.
"
720 F.3d 1361	Commil USA LLC v Cisco Systems Inc	2013-06-25	010 - Commil USA LLC v Cisco Systems Inc	Eastern District of Texas	Federal District Court	AFFIRMED IN PART, VACATED IN PART, AND REMANDED	Prost	"Before NEWMAN, PROST, and O'MALLEY, Circuit Judges.
"
859 F.3d 1014	Skky Inc v MindGeek sarl	2017-06-07	009 - Skky Inc v MindGeek sarl	Patent Trial and Appeal Board	Federal Court	"AFFIRMED
"	Lourie	"Before Lourie, Reyna, and Wallach, Circuit Judges.
"
843 F.3d 936	In re Jobdiva Inc	2016-12-12	001 - In re Jobdiva Inc	Trademark Trial and Appeal Board	Federal Court	"VACATED AND REMANDED
"	Stoll	"Before Prost, Chief Judge, Dyk, and Stoll, Circuit Judges.
"
856 F.3d 902	In re Affinity Labs of Texas LLC	2017-05-05	013 - In re Affinity Labs of Texas LLC	Patent Trial and Appeal Board	Federal Court	"AFFIRMED
"	Chen	"Before Taranto, Chen, and Stoll, Circuit Judges.
"
773 F.3d 1201	Ericsson Inc v D-Link Systems Inc	2014-12-04	058 - Ericsson Inc v D-Link Systems Inc	Eastern District of Texas	Federal District Court	"AFFIRMED IN PART, REVERSED IN PART, VACATED IN PART, AND REMANDED
"	O'Malley	"Before O'MALLEY, TARANTO, and HUGHES, Circuit Judges.
"
790 F.3d 1377	Mohsenzadeh v Lee	2015-06-25	041 - Mohsenzadeh v Lee	Eastern District of Virginia	Federal District Court	"AFFIRMED
"	Reyna	"Before MOORE, SCHALL, and REYNA, Circuit Judges.
"
818 F.3d 1293	Dell Inc v Acceleron LLC	2016-03-15	066 - Dell Inc v Acceleron LLC	Patent Trial and Appeal Board	Federal Court	"AFFIRMED IN PART, VACATED IN PART, AND REMANDED
"	Taranto	"Before MOORE, TARANTO, and HUGHES, Circuit Judges.
"
743 F.3d 1381	In re Barnes And Noble Inc	2014-02-27	057 - In re Barnes And Noble Inc	Western District of Tennessee	Federal District Court	"The petition for writ of mandamus is denied.
"	Reyna	"Before NEWMAN, PROST, and REYNA, Circuit Judges.
"
737 F.3d 1338	AMS Associates Inc v US	2013-12-13	066 - AMS Associates Inc v US	United States Court of International Trade	Federal Court	"AFFIRMED
"	Lourie	"Before LOURIE, DYK, and O'MALLEY, Circuit Judges.
"
859 F.3d 1059	One-E-Way Inc v International Trade Commission	2017-06-12	006 - One-E-Way Inc v International Trade Commission	Federal Circuit	Appellate Court	"REVERSED AND REMANDED
"	Stoll	"Before Prost, Chief Judge, Wallach, and Stoll, Circuit Judges.
"
707 F.3d 1318	Accent Packaging Inc v Leggett And Platt Inc	2013-02-04	033 - Accent Packaging Inc v Leggett And Platt Inc	Southern District of Texas	Federal District Court	"REVERSED–IN–PART, AFFIRMED–IN–PART, AND REMANDED
"	Prost	"Before RADER, Chief Judge, PROST and REYNA, Circuit Judges.
"
666 F.3d 1299	Abbott Point of Care Inc v Epocal Inc	2012-01-13	036 - Abbott Point of Care Inc v Epocal Inc	Northern District of Alabama	Federal District Court	"AFFIRMED
"	Rader	"Before RADER, Chief Judge, LOURIE, and BRYSON, Circuit Judges.
"
696 F.3d 1364	K-TEC Inc v Vita-Mix Corp	2010-04-06	018 - K-TEC Inc v Vita-Mix Corp	District of Utah	Federal District Court	"AFFIRMED
"	Lourie	"Before NEWMAN, LOURIE, and PROST, Circuit Judges.
"
692 F.3d 1250	Amkor Technology Inc v International Trade Com'n	2012-08-22	048 - Amkor Technology Inc v International Trade Com'n	International Trade Commission	Federal Court	"REVERSED AND REMANDED
"	Linn	"Before NEWMAN, PLAGER, and LINN, Circuit Judges.
"
759 F.3d 1327	StonCor Group Inc v Specialty Coatings Inc	2014-07-16	056 - StonCor Group Inc v Specialty Coatings Inc	Trademark Trial and Appeal Board	Federal Court	"AFFIRMED.
"	Hughes	"Before TARANTO and HUGHES, Circuit Judges. *
"
764 F.3d 1366	Abbvie Inc v Mathilda and Terence Kennedy Institute of Rheumatology Trust	2014-08-21	044 - Abbvie Inc v Mathilda and Terence Kennedy Institute of Rheumatology Trust	Southern District of New York	Federal District Court	"AFFIRMED.
"	Dyk	"Before DYK, WALLACH, and CHEN, Circuit Judges.
"
867 F.3d 1253	Visual Memory LLC v NVIDIA Corporation	2017-08-15	004 - Visual Memory LLC v NVIDIA Corporation	District of Delaware	Federal District Court	"REVERSED AND REMANDED
"	Stoll	"Before O'Malley, Hughes, and Stoll, Circuit Judges.
"
823 F.3d 607	In re TLI Communications LLC Patent Litigation	2016-05-17	089 - In re TLI Communications LLC Patent Litigation	Eastern District of Virginia	Federal District Court	"AFFIRMED
"	Hughes	"Before DYK, SCHALL, and HUGHES, Circuit Judges.
"
833 F.3d 1336	ScriptPro LLC v Innovation Associates Inc	2016-08-15	023 - ScriptPro LLC v Innovation Associates Inc	District of Kansas	Federal District Court	"REVERSED AND REMANDED
"	Moore	"Before Moore, Taranto, and Hughes, Circuit Judges.
"
783 F.3d 1262	Info-Hold Inc v Applied Media Technologies Corp	2015-04-24	035 - Info-Hold Inc v Applied Media Technologies Corp	Southern District of Ohio	Federal District Court	"REVERSED AND REMANDED
"	Reyna	"Before REYNA, WALLACH, and TARANTO, Circuit Judges.
"
768 F.3d 1196	EMD Millipore Corp v AllPure Technologies Inc	2012-10-11	046 - EMD Millipore Corp v AllPure Technologies Inc	District of Massachusetts	Federal District Court	"AFFIRMED.
"	Prost	"Before PROST, Chief Judge, O'MALLEY and HUGHES, Circuit Judges.
"
757 F.3d 1349	RT Foods Inc v US	2014-07-03	025 - RT Foods Inc v US	United States Court of International Trade	Federal Court	"AFFIRMED.
"	Wallach	"Before DYK, CLEVENGER, and WALLACH, Circuit Judges.
"
845 F.3d 1357	Eli Lilly and Company v Teva Parenteral Medicines Inc	2017-01-12	024 - Eli Lilly and Company v Teva Parenteral Medicines Inc	Southern District of Indiana	Federal District Court	"AFFIRMED.
"	Prost	"Before Prost, Chief Judge, Newman and Dyk, Circuit Judges.
"
787 F.3d 1359	Shire Development LLC v Watson Pharmaceuticals Inc	2015-06-03	066 - Shire Development LLC v Watson Pharmaceuticals Inc	Southern District of Florida	Federal District Court	"REVERSED AND REMANDED.
"	Hughes	"Before PROST, Chief Judge, CHEN *  and HUGHES, Circuit Judges.
"
831 F.3d 1350	Multilayer Stretch Cling Film Holdings Inc v Berry Plastics Corporation	2016-08-04	033 - Multilayer Stretch Cling Film Holdings Inc v Berry Plastics Corporation	Western District of Tennessee	Federal District Court	"AFFIRMED-IN-PART, REVERSED-IN-PART, VACATED-IN-PART, AND REMANDED
"	Dyk	"Before Dyk, Plager, and Taranto, Circuit Judges.
"
732 F.3d 1351	Tyrues v Shinseki	2013-10-10	31 - Tyrues v Shinseki	Board of Veterans' Appeals	Federal Court	"AFFIRMED.
"	Taranto	"Before NEWMAN, LOURIE, and TARANTO, Circuit Judges.
"
758 F.3d 1329	H-W Technology LC v Overstockcom Inc	2014-07-11	047 - H-W Technology LC v Overstockcom Inc	Northern District of Texas	Federal District Court	"AFFIRMED AS MODIFIED
"	Prost	"Before PROST, *  Chief Judge and O'MALLEY, Circuit Judge. **
"
793 F.3d 1376	Airbus SAS v Firepass Corp	2015-07-17	035 - Airbus SAS v Firepass Corp	Patent Trial and Appeal Board	Federal Court	"VACATED AND REMANDED
"	Lourie	"Before LOURIE, DYK, and MOORE, Circuit Judges.
"
771 F.3d 1317	Align Technology Inc v International Trade Com'n	2014-07-18	042 - Align Technology Inc v International Trade Com'n	International Trade Commission	Federal Court	"VACATED AND REMANDED
"	Chen	"Before PROST, Chief Judge, and CHEN, Circuit Judge. *
"
752 F.3d 1371	QI Press Controls BV v Lee	2014-06-09	004 - QI Press Controls BV v Lee	Patent Trial and Appeal Board	Federal Court	"AFFIRMED IN PART, VACATED IN PART, AND REMANDED.
"	Lourie	"Before LOURIE, BRYSON, and HUGHES, Circuit Judges.
"
856 F.3d 1019	Rovalma SA v Bohler-Edelstahl GmbH And Co KG	2017-05-11	074 - Rovalma SA v Bohler-Edelstahl GmbH And Co KG	Patent Trial and Appeal Board	Federal Court	"VACATED AND REMANDED
"	Taranto	"Before Wallach, Taranto, and Stoll, Circuit Judges.
"
734 F.3d 1306	Ashley Furniture Industries Inc v US	2013-08-19	03 - Ashley Furniture Industries Inc v US	International Trade Commission	Federal Court	"AFFIRMED
"	Moore	"Before PROST, CLEVENGER, and MOORE, Circuit Judges.
"
744 F.3d 1319	Marvin Furniture (Shanghai) Co Ltd v US	2019-03-01	062 - Marvin Furniture (Shanghai) Co Ltd v US	United States Court of International Trade	Federal Court	"AFFIRMED.
"	Reyna	"Before RADER, Chief Judge, PROST, and REYNA, Circuit Judges.
"
785 F.3d 625	Takeda Pharmaceuticals USA Inc v West-Ward Pharmaceutical Corp	2015-05-06	064 - Takeda Pharmaceuticals USA Inc v West-Ward Pharmaceutical Corp	District of Delaware	Federal District Court	"DISMISSED AS MOOT
"	Dyk	"Before NEWMAN, DYK, and HUGHES, Circuit Judges.
"
675 F.3d 1368	In re Becton Dickinson and Co	2012-04-12	081 - In re Becton Dickinson and Co	Trademark Trial and Appeal Board	Federal Court	"AFFIRMED
"	Clevenger	"Before BRYSON, CLEVENGER, and LINN, Circuit Judges.
"
719 F.3d 1346	Novo Nordisk AS v Caraco Pharmaceutical Laboratories Ltd	2013-06-18	037 - Novo Nordisk AS v Caraco Pharmaceutical Laboratories Ltd	Eastern District of Michigan	Federal District Court	"AFFIRMED IN PART AND REVERSED IN PART
"	Prost	"Before NEWMAN, DYK, and PROST, Circuit Judges.
"
816 F.3d 721	Lexmark Intern Inc v Impression Products Inc	2016-02-12	062 - Lexmark Intern Inc v Impression Products Inc	Southern District of Ohio	Federal District Court	"AFFIRMED IN PART, REVERSED IN PART, AND REMANDED
"	Taranto	"Before  PROST,  Chief  Judge,  NEWMAN,  LOURIE,  DYK,  MOORE,  O'MALLEY,  REYNA,  WALLACH,
TARANTO, CHEN, HUGHES, and STOLL, Circuit Judges.
"
751 F.3d 1362	KS Himpp v Hear-Wear Technologies LLC	2014-05-27	010 - KS Himpp v Hear-Wear Technologies LLC	Patent Trial and Appeal Board	Federal Court	"AFFIRMED.
"	Lourie	"Before LOURIE, DYK, and WALLACH, Circuit Judges.
"
723 F.3d 1376	Charles Mach Works Inc v Vermeer Mfg Co	2013-07-26	057 - Charles Mach Works Inc v Vermeer Mfg Co	Southern District of Iowa	Federal District Court	"VACATED–IN–PART, AFFIRMED–IN–PART, REVERSED–IN–PART AND REMANDED
"	Moore	"Before DYK, MAYER, and MOORE, Circuit Judges.
"
753 F.3d 1375	Triton Tech of Texas LLC v Nintendo of America Inc	2014-06-13	013 - Triton Tech of Texas LLC v Nintendo of America Inc	Eastern District of Texas	Federal District Court	"AFFIRMED.
"	Moore	"Before MOORE, REYNA, and HUGHES, Circuit Judges.
"
707 F.3d 1295	InterDigital Communications LLC v International Trade Com'n	2013-01-10	059 - InterDigital Communications LLC v International Trade Com'n	International Trade Commission	Federal Court	"*1297  (2) The petition for rehearing en banc is denied.
"	Bryson	"Before NEWMAN, MAYER, and BRYSON, **  Circuit Judges.
"
875 F.3d 1091	In re Micron Technology Inc	2017-11-15	090 - In re Micron Technology Inc	District of Massachusetts	Federal District Court	"Petition granted, order vacated and remanded.
"	Taranto	"Before Taranto, Chen, and Hughes, Circuit Judges.
"
774 F.3d 979	ABB Turbo Systems AG v Turbousa Inc	2014-12-17	095 - ABB Turbo Systems AG v Turbousa Inc	Southern District of Florida	Federal District Court	"REVERSED AND REMANDED
"	Taranto	"Before PROST, Chief Judge, NEWMAN and TARANTO, Circuit Judges.
"
845 F.3d 1168	Phigenix Inc v Immunogen Inc	2017-01-09	075 - Phigenix Inc v Immunogen Inc	Patent Trial and Appeal Board	Federal Court	"DISMISSED
"	Wallach	"Before Dyk, Wallach, and Hughes, Circuit Judges.
"
793 F.3d 1352	Versata Development Group Inc v Lee	2015-07-13	053 - Versata Development Group Inc v Lee	Patent Trial and Appeal Board	Federal Court	"AFFIRMED.
"	Plager	"Before NEWMAN, PLAGER, and HUGHES, Circuit Judges.
"
814 F.3d 1309	Synopsys Inc v Mentor Graphics Corp	2016-02-10	064 - Synopsys Inc v Mentor Graphics Corp	Patent Trial and Appeal Board	Federal Court	"AFFIRMED
"	Dyk	"Before NEWMAN, DYK, and WALLACH, Circuit Judges.
"
743 F.3d 849	Starhome GmbH v AT And T Mobility LLC	2014-02-24	036 - Starhome GmbH v AT And T Mobility LLC	District of Delaware	Federal District Court	"AFFIRMED
"	Schall	"Before MOORE, SCHALL, and REYNA, Circuit Judges.
"
716 F.3d 596	Motiva LLC v International Trade Com'n	2013-05-13	029 - Motiva LLC v International Trade Com'n	International Trade Commission	Federal Court	"AFFIRMED.
"	Prost	"Before NEWMAN, PROST, and O'MALLEY, Circuit Judges.
"
701 F.3d 698	OSRAM Sylvania Inc v American Induction Technologies Inc	2012-12-13	058 - OSRAM Sylvania Inc v American Induction Technologies Inc	Central District of California	Federal District Court	"REVERSED AND REMANDED.
"	O'Malley	"Before O'MALLEY, PLAGER, and REYNA, Circuit Judges.
"
776 F.3d 1351	Shenyang Yuanda Aluminum Industry Engineering Co Ltd v US	2015-01-21	028 - Shenyang Yuanda Aluminum Industry Engineering Co Ltd v US	United States Court of International Trade	Federal Court	"AFFIRMED
"	Wallach	"Before PROST, Chief Judge, PLAGER and WALLACH, Circuit Judges.
"
744 F.3d 1376	Vederi LLC v Google Inc	2014-03-14	055 - Vederi LLC v Google Inc	Central District of California	Federal District Court	"VACATED AND REMANDED.
"	Rader	"*1377  Before RADER, Chief Judge, DYK and TARANTO, Circuit Judges.
"
819 F.3d 1323	Clare v Chrysler Group LLC	2016-03-31	085 - Clare v Chrysler Group LLC	Eastern District of Michigan	Federal District Court	"AFFIRMED
"	Moore	"Before PROST, Chief Judge, MOORE and WALLACH, Circuit Judges.
"
842 F.3d 1223	SAS Institute Inc v Complementsoft LLC	2016-11-07	073 - SAS Institute Inc v Complementsoft LLC	Patent Trial and Appeal Board	Federal Court	"Section 312 states the required content of these post-grant petitions. When the specified content is not provided, the
petition must be denied. When the specified content is provided, the petition may or may not be “instituted,” in the
PTO's unchallenged discretion. However, the statute does not contemplate the partial institution  *1226  of only those
parts selected by the PTO:
"	Newman	"Before Prost, Chief Judge, Newman, Lourie, Dyk, Moore, Reyna, Wallach, Taranto, Chen, Hughes, and Stoll, Circuit
Judges. *
"
689 F.3d 1358	AFTG-TG LLC v Nuvoton Technology Corp	2012-08-24	061 - AFTG-TG LLC v Nuvoton Technology Corp	District of Wyoming	Federal District Court	"AFFIRMED
"	Rader	"Before RADER, Chief Judge, NEWMAN, and O'MALLEY, Circuit Judges.
"
815 F.3d 816	In re Smith	2016-03-10	060 - In re Smith	Patent Trial and Appeal Board	Federal Court	"AFFIRMED
"	Stoll	"Before MOORE, HUGHES, and STOLL, Circuit Judges.
"
737 F.3d 699	Commil USA LLC v Cisco Systems Inc	2013-10-25	026 - Commil USA LLC v Cisco Systems Inc	Eastern District of Texas	Federal District Court	"(2) The petition of plaintiff-appellee for rehearing en banc is denied.
"	Newman	"Before RADER, Chief Judge, NEWMAN, LOURIE, DYK, PROST, MOORE, O'MALLEY, REYNA, WALLACH,
TARANTO, and CHEN, Circuit Judges. 1
"
807 F.3d 1283	Carnegie Mellon University v Marvell Technology Group Ltd	2015-08-04	077 - Carnegie Mellon University v Marvell Technology Group Ltd	Western District of Pennsylvania	Federal District Court	"AFFIRMED IN PART, REVERSED IN PART, AND VACATED AND REMANDED IN PART.
"	Taranto	"Before WALLACH, TARANTO, and CHEN, Circuit Judges.
"
844 F.3d 1370	Sonix Technology Co Ltd v Publications International Ltd	2017-01-05	092 - Sonix Technology Co Ltd v Publications International Ltd	Northern District of Illinois	Federal District Court	"REVERSED
"	Lourie	"Before Lourie, O'Malley, and Taranto, Circuit Judges.
"
742 F.3d 998	Solvay SA v Honeywell Intern Inc	2014-02-12	059 - Solvay SA v Honeywell Intern Inc	District of Delaware	Federal District Court	"AFFIRMED.
"	Dyk	"Before RADER, Chief Judge, NEWMAN, and DYK, Circuit Judges.
"
757 F.3d 1374	Dependable Packaging Solutions Inc v US	2014-07-09	071 - Dependable Packaging Solutions Inc v US	United States Court of International Trade	Federal Court	"AFFIRMED
"	Wallach	"Before WALLACH, MAYER, and CHEN, Circuit Judges.
"
850 F.3d 1302	Comcast IP Holdings I LLC v Sprint Communications Company LP	2017-03-07	003 - Comcast IP Holdings I LLC v Sprint Communications Company LP	District of Delaware	Federal District Court	"Affirmed.
"	Chen	"Before O'Malley, Reyna, and Chen, Circuit Judges.
"
796 F.3d 1338	Suprema Inc v International Trade Com'n	2015-08-10	023 - Suprema Inc v International Trade Com'n	International Trade Commission	Federal Court	"Remanded.
"	Reyna 	"Before PROST, Chief Judge, NEWMAN, LOURIE, DYK, O'MALLEY, REYNA, WALLACH, TARANTO, CHEN,
and HUGHES, Circuit Judges. *
"
